sampleDate,sampleTime,Temperature
7/4/2008,22:56:42,7.68
7/4/2008,23:11:42,7.68
7/4/2008,23:26:42,7.68
7/4/2008,23:41:42,7.68
7/4/2008,23:56:42,7.68
7/5/2008,0:11:42,7.68
7/5/2008,0:26:42,7.68
7/5/2008,0:41:42,7.68
7/5/2008,0:56:42,7.68
7/5/2008,1:11:42,7.68
7/5/2008,1:26:42,7.68
7/5/2008,1:41:42,7.53
7/5/2008,1:56:42,7.53
7/5/2008,2:11:42,7.53
7/5/2008,2:26:42,7.53
7/5/2008,2:41:42,7.53
7/5/2008,2:56:42,7.68
7/5/2008,3:11:42,7.68
7/5/2008,3:26:42,7.53
7/5/2008,3:41:42,7.53
7/5/2008,3:56:42,7.53
7/5/2008,4:11:42,7.68
7/5/2008,4:26:42,7.53
7/5/2008,4:41:42,7.53
7/5/2008,4:56:42,7.53
7/5/2008,5:11:42,7.53
7/5/2008,5:26:42,7.68
7/5/2008,5:41:42,7.53
7/5/2008,5:56:42,7.53
7/5/2008,6:11:42,7.68
7/5/2008,6:26:42,7.68
7/5/2008,6:41:42,7.68
7/5/2008,6:56:42,7.68
7/5/2008,7:11:42,7.68
7/5/2008,7:26:42,7.68
7/5/2008,7:41:42,7.68
7/5/2008,7:56:42,7.68
7/5/2008,8:11:42,7.68
7/5/2008,8:26:42,7.68
7/5/2008,8:41:42,7.68
7/5/2008,8:56:42,7.68
7/5/2008,9:11:42,7.68
7/5/2008,9:26:42,7.68
7/5/2008,9:41:42,7.68
7/5/2008,9:56:42,7.68
7/5/2008,10:11:42,7.68
7/5/2008,10:26:42,7.68
7/5/2008,10:41:42,7.68
7/5/2008,10:56:42,7.84
7/5/2008,11:11:42,7.84
7/5/2008,11:26:42,7.84
7/5/2008,11:41:42,7.84
7/5/2008,11:56:42,7.84
7/5/2008,12:11:42,7.99
7/5/2008,12:26:42,7.99
7/5/2008,12:41:42,7.99
7/5/2008,12:56:42,7.99
7/5/2008,13:11:42,7.99
7/5/2008,13:26:42,7.99
7/5/2008,13:41:42,7.99
7/5/2008,13:56:42,7.99
7/5/2008,14:11:42,7.99
7/5/2008,14:26:42,8.15
7/5/2008,14:41:42,8.15
7/5/2008,14:56:42,8.15
7/5/2008,15:11:42,8.15
7/5/2008,15:26:42,8.15
7/5/2008,15:41:42,7.99
7/5/2008,15:56:42,7.99
7/5/2008,16:11:42,7.99
7/5/2008,16:26:42,8.15
7/5/2008,16:41:42,8.15
7/5/2008,16:56:42,8.15
7/5/2008,17:11:42,8.15
7/5/2008,17:26:42,8.3
7/5/2008,17:41:42,8.3
7/5/2008,17:56:42,8.46
7/5/2008,18:11:42,8.46
7/5/2008,18:26:42,8.46
7/5/2008,18:41:42,8.46
7/5/2008,18:56:42,8.46
7/5/2008,19:11:42,8.46
7/5/2008,19:26:42,8.46
7/5/2008,19:41:42,8.46
7/5/2008,19:56:42,8.46
7/5/2008,20:11:42,8.46
7/5/2008,20:26:42,8.46
7/5/2008,20:41:42,8.46
7/5/2008,20:56:42,8.46
7/5/2008,21:11:42,8.46
7/5/2008,21:26:42,8.3
7/5/2008,21:41:42,8.3
7/5/2008,21:56:42,8.3
7/5/2008,22:11:42,8.3
7/5/2008,22:26:42,8.3
7/5/2008,22:41:42,8.3
7/5/2008,22:56:42,8.15
7/5/2008,23:11:42,8.15
7/5/2008,23:26:42,8.15
7/5/2008,23:41:42,8.15
7/5/2008,23:56:42,8.15
7/6/2008,0:11:42,8.15
7/6/2008,0:26:42,8.15
7/6/2008,0:41:42,8.15
7/6/2008,0:56:42,8.15
7/6/2008,1:11:42,8.15
7/6/2008,1:26:42,8.15
7/6/2008,1:41:42,7.99
7/6/2008,1:56:42,7.99
7/6/2008,2:11:42,7.99
7/6/2008,2:26:42,7.99
7/6/2008,2:41:42,7.99
7/6/2008,2:56:42,7.99
7/6/2008,3:11:42,7.99
7/6/2008,3:26:42,7.99
7/6/2008,3:41:42,7.99
7/6/2008,3:56:42,7.99
7/6/2008,4:11:42,7.99
7/6/2008,4:26:42,7.99
7/6/2008,4:41:42,7.99
7/6/2008,4:56:42,7.99
7/6/2008,5:11:42,7.99
7/6/2008,5:26:42,7.99
7/6/2008,5:41:42,7.99
7/6/2008,5:56:42,7.99
7/6/2008,6:11:42,7.99
7/6/2008,6:26:42,7.99
7/6/2008,6:41:42,7.99
7/6/2008,6:56:42,7.99
7/6/2008,7:11:42,7.99
7/6/2008,7:26:42,7.99
7/6/2008,7:41:42,7.99
7/6/2008,7:56:42,7.84
7/6/2008,8:11:42,7.84
7/6/2008,8:26:42,7.84
7/6/2008,8:41:42,7.99
7/6/2008,8:56:42,7.99
7/6/2008,9:11:42,7.99
7/6/2008,9:26:42,7.99
7/6/2008,9:41:42,7.99
7/6/2008,9:56:42,7.99
7/6/2008,10:11:42,7.99
7/6/2008,10:26:42,7.99
7/6/2008,10:41:42,7.99
7/6/2008,10:56:42,8.15
7/6/2008,11:11:42,8.15
7/6/2008,11:26:42,8.15
7/6/2008,11:41:42,8.15
7/6/2008,11:56:42,8.15
7/6/2008,12:11:42,8.15
7/6/2008,12:26:42,8.15
7/6/2008,12:41:42,8.15
7/6/2008,12:56:42,8.15
7/6/2008,13:11:42,8.3
7/6/2008,13:26:42,8.3
7/6/2008,13:41:42,8.3
7/6/2008,13:56:42,8.46
7/6/2008,14:11:42,8.46
7/6/2008,14:26:42,8.46
7/6/2008,14:41:42,8.46
7/6/2008,14:56:42,8.46
7/6/2008,15:11:42,8.61
7/6/2008,15:26:42,8.61
7/6/2008,15:41:42,8.61
7/6/2008,15:56:42,8.61
7/6/2008,16:11:42,8.77
7/6/2008,16:26:42,8.77
7/6/2008,16:41:42,8.61
7/6/2008,16:56:42,8.61
7/6/2008,17:11:42,8.46
7/6/2008,17:26:42,8.46
7/6/2008,17:41:42,8.46
7/6/2008,17:56:42,8.46
7/6/2008,18:11:42,8.3
7/6/2008,18:26:42,8.3
7/6/2008,18:41:42,8.3
7/6/2008,18:56:42,8.3
7/6/2008,19:11:42,8.3
7/6/2008,19:26:42,8.15
7/6/2008,19:41:42,8.15
7/6/2008,19:56:42,8.15
7/6/2008,20:11:42,8.15
7/6/2008,20:26:42,8.15
7/6/2008,20:41:42,8.15
7/6/2008,20:56:42,8.15
7/6/2008,21:11:42,8.15
7/6/2008,21:26:42,7.99
7/6/2008,21:41:42,7.99
7/6/2008,21:56:42,7.99
7/6/2008,22:11:42,7.99
7/6/2008,22:26:42,7.99
7/6/2008,22:41:42,7.99
7/6/2008,22:56:42,7.99
7/6/2008,23:11:42,7.99
7/6/2008,23:26:42,7.99
7/6/2008,23:41:42,7.99
7/6/2008,23:56:42,7.99
7/7/2008,0:11:42,7.99
7/7/2008,0:26:42,7.99
7/7/2008,0:41:42,7.84
7/7/2008,0:56:42,7.84
7/7/2008,1:11:42,7.84
7/7/2008,1:26:42,7.84
7/7/2008,1:41:42,7.84
7/7/2008,1:56:42,7.84
7/7/2008,2:11:42,7.84
7/7/2008,2:26:42,7.84
7/7/2008,2:41:42,7.99
7/7/2008,2:56:42,7.99
7/7/2008,3:11:42,7.84
7/7/2008,3:26:42,7.84
7/7/2008,3:41:42,7.99
7/7/2008,3:56:42,7.99
7/7/2008,4:11:42,7.84
7/7/2008,4:26:42,7.84
7/7/2008,4:41:42,7.84
7/7/2008,4:56:42,7.84
7/7/2008,5:11:42,7.84
7/7/2008,5:26:42,7.84
7/7/2008,5:41:42,7.84
7/7/2008,5:56:42,7.84
7/7/2008,6:11:42,7.84
7/7/2008,6:26:42,7.84
7/7/2008,6:41:42,7.84
7/7/2008,6:56:42,7.84
7/7/2008,7:11:42,7.84
7/7/2008,7:26:42,7.84
7/7/2008,7:41:42,7.84
7/7/2008,7:56:42,7.84
7/7/2008,8:11:42,7.84
7/7/2008,8:26:42,7.84
7/7/2008,8:41:42,7.68
7/7/2008,8:56:42,7.68
7/7/2008,9:11:42,7.68
7/7/2008,9:26:42,7.68
7/7/2008,9:41:42,7.68
7/7/2008,9:56:42,7.68
7/7/2008,10:11:42,7.68
7/7/2008,10:26:42,7.68
7/7/2008,10:41:42,7.68
7/7/2008,10:56:42,7.68
7/7/2008,11:11:42,7.68
7/7/2008,11:26:42,7.68
7/7/2008,11:41:42,7.84
7/7/2008,11:56:42,7.84
7/7/2008,12:11:42,7.84
7/7/2008,12:26:42,7.84
7/7/2008,12:41:42,7.84
7/7/2008,12:56:42,7.99
7/7/2008,13:11:42,7.99
7/7/2008,13:26:42,7.99
7/7/2008,13:41:42,7.99
7/7/2008,13:56:42,8.15
7/7/2008,14:11:42,8.15
7/7/2008,14:26:42,8.15
7/7/2008,14:41:42,8.3
7/7/2008,14:56:42,8.3
7/7/2008,15:11:42,8.3
7/7/2008,15:26:42,8.46
7/7/2008,15:41:42,8.46
7/7/2008,15:56:42,8.46
7/7/2008,16:11:42,8.46
7/7/2008,16:26:42,8.46
7/7/2008,16:41:42,8.61
7/7/2008,16:56:42,8.61
7/7/2008,17:11:42,8.46
7/7/2008,17:26:42,8.46
7/7/2008,17:41:42,8.46
7/7/2008,17:56:42,8.46
7/7/2008,18:11:42,8.46
7/7/2008,18:26:42,8.61
7/7/2008,18:41:42,8.61
7/7/2008,18:56:42,8.61
7/7/2008,19:11:42,8.61
7/7/2008,19:26:42,8.46
7/7/2008,19:41:42,8.46
7/7/2008,19:56:42,8.46
7/7/2008,20:11:42,8.46
7/7/2008,20:26:42,8.46
7/7/2008,20:41:42,8.46
7/7/2008,20:56:42,8.3
7/7/2008,21:11:42,8.3
7/7/2008,21:26:42,8.3
7/7/2008,21:41:42,8.3
7/7/2008,21:56:42,8.3
7/7/2008,22:11:42,8.3
7/7/2008,22:26:42,8.3
7/7/2008,22:41:42,8.3
7/7/2008,22:56:42,8.3
7/7/2008,23:11:42,8.3
7/7/2008,23:26:42,8.3
7/7/2008,23:41:42,8.3
7/7/2008,23:56:42,8.3
7/8/2008,0:11:42,8.3
7/8/2008,0:26:42,8.3
7/8/2008,0:41:42,8.3
7/8/2008,0:56:42,8.3
7/8/2008,1:11:42,8.3
7/8/2008,1:26:42,8.15
7/8/2008,1:41:42,8.15
7/8/2008,1:56:42,8.15
7/8/2008,2:11:42,8.15
7/8/2008,2:26:42,8.15
7/8/2008,2:41:42,8.15
7/8/2008,2:56:42,8.15
7/8/2008,3:11:42,8.3
7/8/2008,3:26:42,8.15
7/8/2008,3:41:42,8.15
7/8/2008,3:56:42,8.15
7/8/2008,4:11:42,8.15
7/8/2008,4:26:42,8.15
7/8/2008,4:41:42,8.15
7/8/2008,4:56:42,8.15
7/8/2008,5:11:42,8.15
7/8/2008,5:26:42,8.15
7/8/2008,5:41:42,8.15
7/8/2008,5:56:42,8.15
7/8/2008,6:11:42,8.15
7/8/2008,6:26:42,8.15
7/8/2008,6:41:42,8.15
7/8/2008,6:56:42,8.15
7/8/2008,7:11:42,8.15
7/8/2008,7:26:42,8.15
7/8/2008,7:41:42,8.15
7/8/2008,7:56:42,8.15
7/8/2008,8:11:42,8.15
7/8/2008,8:26:42,8.15
7/8/2008,8:41:42,8.15
7/8/2008,8:56:42,8.15
7/8/2008,9:11:42,8.15
7/8/2008,9:26:42,7.99
7/8/2008,9:41:42,7.99
7/8/2008,9:56:42,7.99
7/8/2008,10:11:42,7.99
7/8/2008,10:26:42,7.99
7/8/2008,10:41:42,7.99
7/8/2008,10:56:42,7.99
7/8/2008,11:11:42,7.99
7/8/2008,11:26:42,7.99
7/8/2008,11:41:42,7.99
7/8/2008,11:56:42,7.99
7/8/2008,12:11:42,7.99
7/8/2008,12:26:42,7.99
7/8/2008,12:41:42,7.99
7/8/2008,12:56:42,7.99
7/8/2008,13:11:42,7.99
7/8/2008,13:26:42,7.99
7/8/2008,13:41:42,7.99
7/8/2008,13:56:42,7.99
7/8/2008,14:11:42,7.99
7/8/2008,14:26:42,7.99
7/8/2008,14:41:42,7.99
7/8/2008,14:56:42,7.99
7/8/2008,15:11:42,7.99
7/8/2008,15:26:42,7.99
7/8/2008,15:41:42,7.99
7/8/2008,15:56:42,7.99
7/8/2008,16:11:42,7.99
7/8/2008,16:26:42,7.99
7/8/2008,16:41:42,7.99
7/8/2008,16:56:42,7.99
7/8/2008,17:11:42,7.99
7/8/2008,17:26:42,7.84
7/8/2008,17:41:42,7.84
7/8/2008,17:56:42,7.84
7/8/2008,18:11:42,7.84
7/8/2008,18:26:42,7.84
7/8/2008,18:41:42,7.84
7/8/2008,18:56:42,7.84
7/8/2008,19:11:42,7.84
7/8/2008,19:26:42,7.84
7/8/2008,19:41:42,7.84
7/8/2008,19:56:42,7.84
7/8/2008,20:11:42,7.84
7/8/2008,20:26:42,7.84
7/8/2008,20:41:42,7.84
7/8/2008,20:56:42,7.84
7/8/2008,21:11:42,7.84
7/8/2008,21:26:42,7.84
7/8/2008,21:41:42,7.84
7/8/2008,21:56:42,7.84
7/8/2008,22:11:42,7.68
7/8/2008,22:26:42,7.68
7/8/2008,22:41:42,7.68
7/8/2008,22:56:42,7.68
7/8/2008,23:11:42,7.68
7/8/2008,23:26:42,7.68
7/8/2008,23:41:42,7.68
7/8/2008,23:56:42,7.68
7/9/2008,0:11:42,7.68
7/9/2008,0:26:42,7.68
7/9/2008,0:41:42,7.68
7/9/2008,0:56:42,7.68
7/9/2008,1:11:42,7.68
7/9/2008,1:26:42,7.53
7/9/2008,1:41:42,7.53
7/9/2008,1:56:42,7.53
7/9/2008,2:11:42,7.53
7/9/2008,2:26:42,7.53
7/9/2008,2:41:42,7.53
7/9/2008,2:56:42,7.53
7/9/2008,3:11:42,7.53
7/9/2008,3:26:42,7.53
7/9/2008,3:41:42,7.37
7/9/2008,3:56:42,7.37
7/9/2008,4:11:42,7.37
7/9/2008,4:26:42,7.37
7/9/2008,4:41:42,7.37
7/9/2008,4:56:42,7.37
7/9/2008,5:11:42,7.37
7/9/2008,5:26:42,7.37
7/9/2008,5:41:42,7.37
7/9/2008,5:56:42,7.37
7/9/2008,6:11:42,7.37
7/9/2008,6:26:42,7.37
7/9/2008,6:41:42,7.37
7/9/2008,6:56:42,7.37
7/9/2008,7:11:42,7.37
7/9/2008,7:26:42,7.37
7/9/2008,7:41:42,7.37
7/9/2008,7:56:42,7.37
7/9/2008,8:11:42,7.37
7/9/2008,8:26:42,7.37
7/9/2008,8:41:42,7.37
7/9/2008,8:56:42,7.37
7/9/2008,9:11:42,7.37
7/9/2008,9:26:42,7.37
7/9/2008,9:41:42,7.37
7/9/2008,9:56:42,7.37
7/9/2008,10:11:42,7.37
7/9/2008,10:26:42,7.37
7/9/2008,10:41:42,7.37
7/9/2008,10:56:42,7.53
7/9/2008,11:11:42,7.53
7/9/2008,11:26:42,7.53
7/9/2008,11:41:42,7.53
7/9/2008,11:56:42,7.68
7/9/2008,12:11:42,7.68
7/9/2008,12:26:42,7.68
7/9/2008,12:41:42,7.84
7/9/2008,12:56:42,7.84
7/9/2008,13:11:42,7.84
7/9/2008,13:26:42,7.99
7/9/2008,13:41:42,7.99
7/9/2008,13:56:42,8.15
7/9/2008,14:11:42,8.15
7/9/2008,14:26:42,8.15
7/9/2008,14:41:42,8.3
7/9/2008,14:56:42,8.3
7/9/2008,15:11:42,8.3
7/9/2008,15:26:42,8.46
7/9/2008,15:41:42,8.46
7/9/2008,15:56:42,8.46
7/9/2008,16:11:42,8.46
7/9/2008,16:26:42,8.46
7/9/2008,16:41:42,8.46
7/9/2008,16:56:42,8.46
7/9/2008,17:11:42,8.46
7/9/2008,17:26:42,8.46
7/9/2008,17:41:42,8.46
7/9/2008,17:56:42,8.46
7/9/2008,18:11:42,8.46
7/9/2008,18:26:42,8.46
7/9/2008,18:41:42,8.46
7/9/2008,18:56:42,8.61
7/9/2008,19:11:42,8.61
7/9/2008,19:26:42,8.61
7/9/2008,19:41:42,8.61
7/9/2008,19:56:42,8.61
7/9/2008,20:11:42,8.61
7/9/2008,20:26:42,8.46
7/9/2008,20:41:42,8.46
7/9/2008,20:56:42,8.46
7/9/2008,21:11:42,8.46
7/9/2008,21:26:42,8.46
7/9/2008,21:41:42,8.46
7/9/2008,21:56:42,8.3
7/9/2008,22:11:42,8.3
7/9/2008,22:26:42,8.3
7/9/2008,22:41:42,8.3
7/9/2008,22:56:42,8.3
7/9/2008,23:11:42,8.3
7/9/2008,23:26:42,8.3
7/9/2008,23:41:42,8.3
7/9/2008,23:56:42,8.3
7/10/2008,0:11:42,8.3
7/10/2008,0:26:42,8.3
7/10/2008,0:41:42,8.15
7/10/2008,0:56:42,8.15
7/10/2008,1:11:42,8.15
7/10/2008,1:26:42,8.15
7/10/2008,1:41:42,8.15
7/10/2008,1:56:42,8.15
7/10/2008,2:11:42,8.15
7/10/2008,2:26:42,8.15
7/10/2008,2:41:42,8.15
7/10/2008,2:56:42,8.15
7/10/2008,3:11:42,8.15
7/10/2008,3:26:42,8.15
7/10/2008,3:41:42,8.15
7/10/2008,3:56:42,8.15
7/10/2008,4:11:42,8.15
7/10/2008,4:26:42,8.15
7/10/2008,4:41:42,8.15
7/10/2008,4:56:42,8.15
7/10/2008,5:11:42,8.15
7/10/2008,5:26:42,8.15
7/10/2008,5:41:42,8.15
7/10/2008,5:56:42,8.15
7/10/2008,6:11:42,8.15
7/10/2008,6:26:42,8.15
7/10/2008,6:41:42,8.15
7/10/2008,6:56:42,8.15
7/10/2008,7:11:42,8.15
7/10/2008,7:26:42,8.15
7/10/2008,7:41:42,8.15
7/10/2008,7:56:42,8.15
7/10/2008,8:11:42,8.15
7/10/2008,8:26:42,8.15
7/10/2008,8:41:42,8.15
7/10/2008,8:56:42,8.15
7/10/2008,9:11:42,8.15
7/10/2008,9:26:42,8.15
7/10/2008,9:41:42,8.15
7/10/2008,9:56:42,8.15
7/10/2008,10:11:42,8.15
7/10/2008,10:26:42,8.15
7/10/2008,10:41:42,8.15
7/10/2008,10:56:42,8.15
7/10/2008,11:11:42,8.3
7/10/2008,11:26:42,8.3
7/10/2008,11:41:42,8.3
7/10/2008,11:56:42,8.3
7/10/2008,12:11:42,8.3
7/10/2008,12:26:42,8.46
7/10/2008,12:41:42,8.46
7/10/2008,12:56:42,8.46
7/10/2008,13:11:42,8.61
7/10/2008,13:26:42,8.61
7/10/2008,13:41:42,8.77
7/10/2008,13:56:42,8.77
7/10/2008,14:11:42,8.92
7/10/2008,14:26:42,8.92
7/10/2008,14:41:42,9.07
7/10/2008,14:56:42,9.07
7/10/2008,15:11:42,9.07
7/10/2008,15:26:42,9.07
7/10/2008,15:41:42,9.07
7/10/2008,15:56:42,9.07
7/10/2008,16:11:42,9.07
7/10/2008,16:26:42,9.07
7/10/2008,16:41:42,9.07
7/10/2008,16:56:42,8.92
7/10/2008,17:11:42,8.92
7/10/2008,17:26:42,8.92
7/10/2008,17:41:42,8.92
7/10/2008,17:56:42,8.92
7/10/2008,18:11:42,8.92
7/10/2008,18:26:42,8.92
7/10/2008,18:41:42,8.92
7/10/2008,18:56:42,8.92
7/10/2008,19:11:42,8.77
7/10/2008,19:26:42,8.77
7/10/2008,19:41:42,8.77
7/10/2008,19:56:42,8.77
7/10/2008,20:11:42,8.77
7/10/2008,20:26:42,8.61
7/10/2008,20:41:42,8.61
7/10/2008,20:56:42,8.61
7/10/2008,21:11:42,8.61
7/10/2008,21:26:42,8.46
7/10/2008,21:41:42,8.46
7/10/2008,21:56:42,8.46
7/10/2008,22:11:42,8.46
7/10/2008,22:26:42,8.46
7/10/2008,22:41:42,8.46
7/10/2008,22:56:42,8.46
7/10/2008,23:11:42,8.46
7/10/2008,23:26:42,8.46
7/10/2008,23:41:42,8.46
7/10/2008,23:56:42,8.3
7/11/2008,0:11:42,8.3
7/11/2008,0:26:42,8.3
7/11/2008,0:41:42,8.3
7/11/2008,0:56:42,8.3
7/11/2008,1:11:42,8.3
7/11/2008,1:26:42,8.3
7/11/2008,1:41:42,8.3
7/11/2008,1:56:42,8.3
7/11/2008,2:11:42,8.3
7/11/2008,2:26:42,8.3
7/11/2008,2:41:42,8.3
7/11/2008,2:56:42,8.3
7/11/2008,3:11:42,8.3
7/11/2008,3:26:42,8.3
7/11/2008,3:41:42,8.3
7/11/2008,3:56:42,8.3
7/11/2008,4:11:42,8.3
7/11/2008,4:26:42,8.3
7/11/2008,4:41:42,8.3
7/11/2008,4:56:42,8.3
7/11/2008,5:11:42,8.3
7/11/2008,5:26:42,8.3
7/11/2008,5:41:42,8.3
7/11/2008,5:56:42,8.3
7/11/2008,6:11:42,8.15
7/11/2008,6:26:42,8.3
7/11/2008,6:41:42,8.15
7/11/2008,6:56:42,8.15
7/11/2008,7:11:42,8.15
7/11/2008,7:26:42,8.15
7/11/2008,7:41:42,8.15
7/11/2008,7:56:42,8.15
7/11/2008,8:11:42,8.15
7/11/2008,8:26:42,8.15
7/11/2008,8:41:42,8.15
7/11/2008,8:56:42,8.15
7/11/2008,9:11:42,8.15
7/11/2008,9:26:42,8.15
7/11/2008,9:41:42,8.15
7/11/2008,9:56:42,8.3
7/11/2008,10:11:42,8.3
7/11/2008,10:26:42,8.3
7/11/2008,10:41:42,8.3
7/11/2008,10:56:42,8.3
7/11/2008,11:11:42,8.3
7/11/2008,11:26:42,8.3
7/11/2008,11:41:42,8.3
7/11/2008,11:56:42,8.46
7/11/2008,12:11:42,8.46
7/11/2008,12:26:42,8.46
7/11/2008,12:41:42,8.46
7/11/2008,12:56:42,8.46
7/11/2008,13:11:42,8.46
7/11/2008,13:26:42,8.46
7/11/2008,13:41:42,8.46
7/11/2008,13:56:42,8.46
7/11/2008,14:11:42,8.46
7/11/2008,14:26:42,8.61
7/11/2008,14:41:42,8.61
7/11/2008,14:56:42,8.61
7/11/2008,15:11:42,8.61
7/11/2008,15:26:42,8.61
7/11/2008,15:41:42,8.61
7/11/2008,15:56:42,8.46
7/11/2008,16:11:42,8.46
7/11/2008,16:26:42,8.46
7/11/2008,16:41:42,8.46
7/11/2008,16:56:42,8.46
7/11/2008,17:11:42,8.46
7/11/2008,17:26:42,8.61
7/11/2008,17:41:42,8.61
7/11/2008,17:56:42,8.61
7/11/2008,18:11:42,8.61
7/11/2008,18:26:42,8.61
7/11/2008,18:41:42,8.61
7/11/2008,18:56:42,8.61
7/11/2008,19:11:42,8.61
7/11/2008,19:26:42,8.61
7/11/2008,19:41:42,8.61
7/11/2008,19:56:42,8.61
7/11/2008,20:11:42,8.61
7/11/2008,20:26:42,8.61
7/11/2008,20:41:42,8.61
7/11/2008,20:56:42,8.61
7/11/2008,21:11:42,8.46
7/11/2008,21:26:42,8.46
7/11/2008,21:41:42,8.46
7/11/2008,21:56:42,8.46
7/11/2008,22:11:42,8.46
7/11/2008,22:26:42,8.46
7/11/2008,22:41:42,8.3
7/11/2008,22:56:42,8.3
7/11/2008,23:11:42,8.3
7/11/2008,23:26:42,8.3
7/11/2008,23:41:42,8.3
7/11/2008,23:56:42,8.3
7/12/2008,0:11:42,8.3
7/12/2008,0:26:42,8.3
7/12/2008,0:41:42,8.15
7/12/2008,0:56:42,8.15
7/12/2008,1:11:42,8.15
7/12/2008,1:26:42,8.15
7/12/2008,1:41:42,8.15
7/12/2008,1:56:42,8.15
7/12/2008,2:11:42,8.15
7/12/2008,2:26:42,8.15
7/12/2008,2:41:42,8.15
7/12/2008,2:56:42,8.15
7/12/2008,3:11:42,8.15
7/12/2008,3:26:42,8.15
7/12/2008,3:41:42,8.15
7/12/2008,3:56:42,8.15
7/12/2008,4:11:42,8.15
7/12/2008,4:26:42,8.15
7/12/2008,4:41:42,8.15
7/12/2008,4:56:42,8.15
7/12/2008,5:11:42,8.15
7/12/2008,5:26:42,8.15
7/12/2008,5:41:42,8.15
7/12/2008,5:56:42,8.15
7/12/2008,6:11:42,8.15
7/12/2008,6:26:42,8.15
7/12/2008,6:41:42,8.15
7/12/2008,6:56:42,8.15
7/12/2008,7:11:42,8.15
7/12/2008,7:26:42,8.15
7/12/2008,7:41:42,8.15
7/12/2008,7:56:42,8.15
7/12/2008,8:11:42,8.15
7/12/2008,8:26:42,8.15
7/12/2008,8:41:42,8.15
7/12/2008,8:56:42,8.15
7/12/2008,9:11:42,8.15
7/12/2008,9:26:42,8.15
7/12/2008,9:41:42,8.15
7/12/2008,9:56:42,8.15
7/12/2008,10:11:42,8.15
7/12/2008,10:26:42,8.15
7/12/2008,10:41:42,8.3
7/12/2008,10:56:42,8.3
7/12/2008,11:11:42,8.3
7/12/2008,11:26:42,8.3
7/12/2008,11:41:42,8.3
7/12/2008,11:56:42,8.3
7/12/2008,12:11:42,8.3
7/12/2008,12:26:42,8.46
7/12/2008,12:41:42,8.46
7/12/2008,12:56:42,8.46
7/12/2008,13:11:42,8.46
7/12/2008,13:26:42,8.46
7/12/2008,13:41:42,8.46
7/12/2008,13:56:42,8.46
7/12/2008,14:11:42,8.46
7/12/2008,14:26:42,8.46
7/12/2008,14:41:42,8.61
7/12/2008,14:56:42,8.61
7/12/2008,15:11:42,8.61
7/12/2008,15:26:42,8.61
7/12/2008,15:41:42,8.77
7/12/2008,15:56:42,8.77
7/12/2008,16:11:42,8.77
7/12/2008,16:26:42,8.92
7/12/2008,16:41:42,8.92
7/12/2008,16:56:42,8.92
7/12/2008,17:11:42,9.07
7/12/2008,17:26:42,9.07
7/12/2008,17:41:42,9.07
7/12/2008,17:56:42,9.07
7/12/2008,18:11:42,9.07
7/12/2008,18:26:42,8.92
7/12/2008,18:41:42,8.92
7/12/2008,18:56:42,8.92
7/12/2008,19:11:42,8.92
7/12/2008,19:26:42,8.92
7/12/2008,19:41:42,8.92
7/12/2008,19:56:42,8.77
7/12/2008,20:11:42,8.77
7/12/2008,20:26:42,8.77
7/12/2008,20:41:42,8.77
7/12/2008,20:56:42,8.77
7/12/2008,21:11:42,8.77
7/12/2008,21:26:42,8.61
7/12/2008,21:41:42,8.61
7/12/2008,21:56:42,8.61
7/12/2008,22:11:42,8.61
7/12/2008,22:26:42,8.46
7/12/2008,22:41:42,8.46
7/12/2008,22:56:42,8.46
7/12/2008,23:11:42,8.46
7/12/2008,23:26:42,8.46
7/12/2008,23:41:42,8.46
7/12/2008,23:56:42,8.46
7/13/2008,0:11:42,8.46
7/13/2008,0:26:42,8.3
7/13/2008,0:41:42,8.3
7/13/2008,0:56:42,8.3
7/13/2008,1:11:42,8.3
7/13/2008,1:26:42,8.3
7/13/2008,1:41:42,8.3
7/13/2008,1:56:42,8.3
7/13/2008,2:11:42,8.3
7/13/2008,2:26:42,8.3
7/13/2008,2:41:42,8.3
7/13/2008,2:56:42,8.3
7/13/2008,3:11:42,8.3
7/13/2008,3:26:42,8.3
7/13/2008,3:41:42,8.3
7/13/2008,3:56:42,8.3
7/13/2008,4:11:42,8.3
7/13/2008,4:26:42,8.3
7/13/2008,4:41:42,8.3
7/13/2008,4:56:42,8.3
7/13/2008,5:11:42,8.3
7/13/2008,5:26:42,8.3
7/13/2008,5:41:42,8.3
7/13/2008,5:56:42,8.3
7/13/2008,6:11:42,8.3
7/13/2008,6:26:42,9.07
7/13/2008,6:41:42,9.69
7/13/2008,6:56:42,9.69
7/13/2008,7:11:42,9.54
7/13/2008,7:26:42,9.38
7/13/2008,7:41:42,9.38
7/13/2008,7:56:42,9.38
7/13/2008,8:11:42,9.23
7/13/2008,8:26:42,9.07
7/13/2008,8:41:42,9.07
7/13/2008,8:56:42,8.77
7/13/2008,9:11:42,8.61
7/13/2008,9:26:42,8.46
7/13/2008,9:41:42,8.46
7/13/2008,9:56:42,8.46
7/13/2008,10:11:42,8.3
7/13/2008,10:26:42,8.3
7/13/2008,10:41:42,8.46
7/13/2008,10:56:42,8.46
7/13/2008,11:11:42,8.46
7/13/2008,11:26:42,8.46
7/13/2008,11:41:42,8.46
7/13/2008,11:56:42,8.61
7/13/2008,12:11:42,8.61
